19th News,http://19thnews.org,44.04,-10.64,https://19thnews.org/wp-content/themes/the-19th/static/img/favicon/light/android-chrome-512x512.png
ABC News,https://abcnews.go.com/,48.27,-5.16,https://s.abcnews.com/assets/beta/assets/abcn_images/abcnews_pearl_stacked.png
Advocate,http://advocate.com,37.00,-17.01,https://www.advocate.com/sites/advocate.com/themes/advocate/apple-touch-icon-152.png
Agence France-Presse,http://www.afp.com,47.98,-2.15,https://www.afp.com/sites/default/files/favicon_afp.com_201120.ico
Al Jazeera,https://www.aljazeera.com/,46.23,-5.94,https://www.aljazeera.com/favicon_aje.ico
AL.com,http://al.com,47.14,-1.25,https://media.al.com/static/bama/static/img/logos/logo_fb.jpg
AlterNet,https://www.alternet.org/,24.25,-20.56,https://www.alternet.org/media-library/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpbWFnZSI6Imh0dHBzOi8vYXNzZXRzLnJibC5tcy8yMzU1MTQ4MC9vcmlnaW4uanBnIiwiZXhwaXJlc19hdCI6MTYyNjA0MTI4MX0.Ny4DZN1nd7KkXf7pnrZ0axLrQQGKDqJ-9yUBpmaTaVs/image.jpg?width=210
American Greatness,http://amgreatness.com,19.38,24.43,https://overland.amgreatness.com/app/uploads/2020/09/cropped-ag_favicon-1.png
American Independent,http://americanindependent.com,39.68,-14.56,https://americanindependent.com/wp-content/uploads/2019/11/cropped-favicon-270x270.png
American Thinker,http://americanthinker.com,20.05,29.01,American Thinker
AP,https://apnews.com/,51.19,-2.60,https://apnews.com/branding/favicon/256.png
Arizona Daily Star,http://tucson.com,45.84,-2.27,https://bloximages.chicago2.vip.townnews.com/tucson.com/content/tncms/custom/image/80d87072-cfb0-11e7-b59a-ef5f5178bcc6.png?resize=256%2C256
Army Times,http://armytimes.com,48.06,0.36,https://www.armytimes.com/pb/resources/assets/favicon/arm/apple-touch-icon.png
ARS Technica,http://arstechnica.com,46.33,-0.76,https://cdn.arstechnica.net/wp-content/themes/ars/assets/static/ars-logo-open-grey.png
Aspen Times,http://aspentimes.com,46.33,-0.31,https://cdn.aspentimes.com/wp-content/uploads/sites/5/2019/02/apple-touch-icon.png
Atlanta Black Star,http://atlantablackstar.com,45.57,-5.19,https://atlantablackstar.com/wp-content/uploads/2016/08/ABS_Icon_Red-1.png
Atlanta Journal-Constitution,http://ajc.com,45.49,-2.98,https://www.ajc.com/pf/resources/icons/appleTouch/ajc/favicon-apple-touch-icon-2.png?d=203
Axios,https://www.axios.com/,48.10,-6.45,https://static.axios.com/img/axios-site/favicon-32x32.png
AZ Central,http://azcentral.com,44.34,-6.69,https://www.azcentral.com/favicon.ico
Baltimore Sun,http://baltimoresun.com,46.15,-6.53,https://www.baltimoresun.com/pb/resources/images/balnews_icons/144-iTunesArtwork.png?v=274
BBC,https://www.bbc.com/,48.21,-1.53,https://gn-web-assets.api.bbc.com/wwhp/20210408-1643-99ba2017ec54f59c80c548ec21b55a49297f08c2/responsive/img/apple-touch/apple-touch-180.jpg
Bearing Arms,http://bearingarms.com,26.01,20.09,https://bearingarms.com/android-chrome-192x192.png
Before It’s News,http://beforeitsnews.com,5.24,30.69,Before It’s News
Big League Politics,http://bigleaguepolitics.com,15.75,26.35,https://bigleaguepolitics.com/wp-content/uploads/2018/03/cropped-blpfavicon-48x48.png
